year,company,car_name,km_driven,fuel_type,transmission,price,location
2021,Tata,Harrier XZA PLUS 2.0L DARK EDITION,52676,Diesel,Automatic,₹17.07 Lakh,Ahmedabad
2018,Ford,Ecosport TITANIUM + 1.5L PETROL AT,36614,Petrol,Automatic,₹8.34 Lakh,Ahmedabad
2020,MG,HECTOR SHARP 1.5 DCT PETROL,41697,Petrol,Automatic,₹12.33 Lakh,Ahmedabad
2022,Tata,Tiago XZ PLUS CNG,43059,CNG,Manual,₹6.95 Lakh,Ahmedabad
2013,Honda,Brio E MT,105481,CNG,Manual,₹2.50 Lakh,Ahmedabad
2019,Maruti,Alto VXI,39071,Petrol,Manual,₹3.54 Lakh,Ahmedabad
2017,Maruti,Celerio X ZXI,104045,Petrol,Manual,₹3.63 Lakh,Ahmedabad
2023,Tata,NEXON XZA PLUS PETROL,3608,Petrol,Automatic,₹10.83 Lakh,Ahmedabad
2021,MG,HECTOR SHARP 1.5 DCT PETROL,24295,Petrol,Automatic,₹14.36 Lakh,Ahmedabad
2021,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,28610,Petrol,Manual,₹8.66 Lakh,Ahmedabad
2016,Maruti,Baleno DELTA PETROL 1.2,59200,Petrol,Manual,₹4.81 Lakh,Ahmedabad
2016,Maruti,Wagon R 1.0 VXI,80432,CNG,Manual,₹3.68 Lakh,Ahmedabad
2014,Hyundai,Xcent S 1.2,118087,CNG,Manual,₹3.76 Lakh,Ahmedabad
2015,Hyundai,i10 SPORTZ 1.1,42645,Petrol,Manual,₹3.88 Lakh,Ahmedabad
2014,Maruti,Wagon R 1.0 LXI,53063,Petrol,Manual,₹3.35 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,39068,Petrol,Manual,₹4.52 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,38969,Petrol,Manual,₹6.39 Lakh,Ahmedabad
2018,Hyundai,Creta SX 1.6 DIESEL,122548,Diesel,Manual,₹9.95 Lakh,Ahmedabad
2022,Tata,Harrier XZA PLUS JET 2.0L,19969,Diesel,Automatic,₹18.37 Lakh,Ahmedabad
2015,Honda,Brio S MT,91821,Petrol,Manual,₹2.99 Lakh,Ahmedabad
2019,Honda,Amaze 1.2L I-VTEC V,69324,Petrol,Manual,₹5.90 Lakh,Ahmedabad
2019,Maruti,New Wagon-R ZXI 1.2,24709,Petrol,Manual,₹4.78 Lakh,Ahmedabad
2021,Hyundai,VENUE SX PLUS 1.0 TURBO DCT,14586,Petrol,Automatic,₹10.22 Lakh,Ahmedabad
2019,Maruti,New Wagon-R ZXI 1.2 AMT,43025,Petrol,Automatic,₹5.25 Lakh,Ahmedabad
